source,target
29942442,1107312205672927233
1515504487,2575255406
1443621511424794625,1239220720967786497
58033493,1239220720967786497
849118132920885249,25985971
1058855480,25985971
100196523,25985971
32969572,25985971
2805191663,711420595460767745
894927865149607936,711420595460767745
121150210,324361027
1934507905,324361027
533125583,324361027
82551736,2741510431
1187000692617240576,49360145
1084746708582584320,49360145
211823520,1156446379
776128762589110273,1156446379
2731764105,828830241904803840
1312776213509922816,1312691663597436928
1443621511424794625,910838153191321602
828943259653328896,910838153191321602
1099341507184726016,910838153191321602
280534430,4733984476
1385647358,4733984476
4119626644,4733984476
71123227,4733984476
189854509,4733984476
1040469030,792280548232335360
490595745,792280548232335360
1095405827668746242,1484626648607690761
782089730,1484626648607690761
2338074109,1484626648607690761
1443621511424794625,1484626648607690761
1079778314666024960,1484626648607690761
2890841380,4816550968
1079778314666024960,4816550968
1298179944,4816550968
4928561783,272464701
1260951640305172480,272464701
40735255,62615202
14418945,62615202
1312776213509922816,830116264328716289
880768706829275136,830116264328716289
48791069,830116264328716289
1934507905,830116264328716289
925028307720122368,830116264328716289
3047753081,830116264328716289
790123076507824128,830116264328716289
2282656489,830116264328716289
849252678035275777,830116264328716289
121150210,830116264328716289
1058855480,2244760408
1097842956,3346264845
1079778314666024960,72244902
4119626644,72244902
576052573,329591402
13400862,329591402
2775919401,964303752
73985850,4795482594
383782444,4795482594
360564115,4795482594
113925365,4795482594
844835184948109312,1306502114148003845
1244325594470526977,1306502114148003845
32969572,1306502114148003845
463262629,1306502114148003845
36512649,989582552
991580616884916229,1373937719840284672
123230534,1373937719840284672
987888931038482433,1467584146352529418
1196865315101118464,998199966274392064
1434125036,978280701937307648
218601705,713121281412042752
245835450,2344099015
521314756,2344099015
3148060019,1102565865764065281
766894710371721216,1102565865764065281
1443621511424794625,1224798673508470787
4119626644,1224798673508470787
702855080,1391040699991269377
776534221791850496,1391040699991269377
3049972011,721001553130295296
1269742408180301825,721001553130295296
4806162441,896943587987992577
3414687311,3156210368
1065560144,2805992586
160480602,2805992586
369161922,2805992586
1051309926,1943117575
364875200,1149964465330360320
398954321,1149964465330360320
4000659178,1149964465330360320
812616124709961729,1149964465330360320
1231305960720912384,1149964465330360320
953553849402429440,1149964465330360320
104151416,1149964465330360320
920556690709401600,1263443839387385856
67077504,446078753
3124596701,428254120
2205569881,428254120
1443621511424794625,1182725195389460480
594112759,1182725195389460480
941407834075488256,1182725195389460480
1461836617241485322,1416753311743725572
1422123218245144577,1416753311743725572
1174674140890050561,1416753311743725572
1325855979704115200,1416753311743725572
1343613607217659907,1416753311743725572
782089730,997223721889869825
908015652140666880,997223721889869825
4119626644,997223721889869825
74563245,3240307216
624587899,1519851379
1640112552,1519851379
821099443671986176,2936772821
3317557043,2936772821
895318526168379393,2936772821
3246855856,706793705131393024
74563245,706793705131393024
1702042254,1192072104197459968
705470641277894656,1192072104197459968
953604352303947776,1192072104197459968
993848943573372929,1192072104197459968
1117442570374787072,932700289244770309
993799221127073794,932700289244770309
2970526948,3646684404
2195610588,3646684404
3972620909,3646684404
882002382,3646684404
239448394,3646684404
715150850868580352,3646684404
731966250486730752,3646684404
46640068,43785705
1017162123418505216,895991138636750848
2598118526,253212154
1058855480,253212154
14728350,253212154
960252448647663618,905429504373469184
414244352,905429504373469184
455583180,193929077
192500646,178847417
609560853,1105171169119035397
1966883084,1105171169119035397
2810083591,1105171169119035397
3329938126,1394559376011276291
1346816172336017415,1394559376011276291
941266203036798976,1394559376011276291
1187000692617240576,1394559376011276291
1334162066979106817,1394559376011276291
17820931,522297538
2447780737,884107813940842496
927644373327769600,1598209838
1099230704469270528,1598209838
44488915,1598209838
1438836468898795520,1436456842062974976
3133465167,204455772
1149852528651251712,204455772
985903819203710977,204455772
747767329,204455772
2416608546,204455772
1126464068,204455772
1241515496874430470,395001862
80699225,75101169
1261895798,75101169
716529781,309004922
63098819,2647230966
2647284192,2647230966
3293560920,704258445365616640
16552268,522077923
1177571738785333250,1151921737
1601147292,2322161127
